Broad ID	DrugBank ID
BRD-K45275534	DB12364
BRD-K45401373	DB12480
BRD-K92441787	DB00307
BRD-K46018455	DB01393
BRD-K95603879	DB04638
BRD-K37492701	DB15676
BRD-K43927145	DB04869
BRD-K70914287	DB12966
BRD-A29485665	DB01128
BRD-K84363966	DB11562
BRD-K51967704	DB12359
BRD-K00003616	DB00905
BRD-K00004300	DB15676
BRD-K36467523	DB12739
BRD-K82244583	DB11967
BRD-K89210380	DB00121
BRD-K71221037	DB11782
BRD-K41494493	DB06973
BRD-K39120595	DB04813
BRD-K13756951	DB12426
BRD-K20290250	DB15676
BRD-K73368362	DB15676
BRD-A75817871	DB01944
BRD-K25943794	DB09223
BRD-K07106112	DB12318
BRD-K76239644	DB11665
BRD-K40738845	DB12064
BRD-K88510285	DB00188
BRD-K74763371	DB00559
BRD-K99964838	DB06616
BRD-K00003554	DB12054
BRD-A40257118	DB15676
BRD-K77841042	DB07348
BRD-K06328344	DB15676
BRD-K96123349	DB03523
BRD-K49669424	DB01158
BRD-K00911143	DB09128
BRD-K05531427	DB12004
BRD-K56981171	DB12267
BRD-K68264559	DB00484
BRD-K74913225	DB01194
BRD-K28428262	DB11958
BRD-K57187269	DB11865
BRD-K47679368	DB00963
BRD-K14496212	DB01200
BRD-K73642618	DB09018
BRD-K78643075	DB12401
BRD-K01825159	DB00405
BRD-K36660044	DB13346
BRD-K38197229	DB00887
BRD-K35034482	DB12230
BRD-K42191735	DB11666
BRD-K00003636	DB01002
BRD-K93461745	DB00490
BRD-K71350836	DB00241
BRD-K90630139	DB01091
BRD-K10384176	DB06772
BRD-K86882815	DB00248
BRD-K51544265	DB08875
BRD-K09900591	DB01880
BRD-K02404261	DB00201
BRD-K77175907	DB00146
BRD-K56429665	DB02300
BRD-K27316855	DB00136
BRD-K23248433	DB12567
BRD-K37890730	DB04690
BRD-K90868879	DB08907
BRD-K84091759	DB13919
BRD-K50168500	DB05424
BRD-K81644801	DB12221
BRD-K61192372	DB01101
BRD-K50590187	DB06774
BRD-K54529596	DB01197
BRD-K71799949	DB00564
BRD-K12906202	DB13009
BRD-K12765235	DB02329
BRD-K06181161	DB11186
BRD-K56107812	DB15676
BRD-K78712176	DB00190
BRD-K87156652	DB00389
BRD-K68408772	DB11960
BRD-K15179879	DB08889
BRD-K60240222	DB06775
BRD-K57764956	DB06016
BRD-K11630072	DB09010
BRD-K92129045	DB09254
BRD-K20897876	DB01816
BRD-K41779183	DB12499
BRD-K16755045	DB12740
BRD-K88737571	DB12570
BRD-K00004320	DB12432
BRD-K43914553	DB15676
BRD-K48141473	DB12830
BRD-K86930074	DB04849
BRD-K99750640	DB01327
BRD-K15766189	DB00535
BRD-K02637541	DB00482
BRD-K72827473	DB13060
BRD-K22149900	DB09063
BRD-K00003320	DB00403
BRD-K94863486	DB06586
BRD-K76315403	DB00050
BRD-K00003570	DB12533
BRD-K52396582	DB12885
BRD-K79584249	DB15676
BRD-K34321528	DB15676
BRD-K11683436	DB12903
BRD-K22314899	DB15676
BRD-K28352084	DB13051
BRD-K18135438	DB06777
BRD-K08111712	DB00446
BRD-K47114202	DB12029
BRD-K86864073	DB01161
BRD-K83257731	DB08800
BRD-K88682005	DB00880
BRD-K27062708	DB00269
BRD-K17075857	DB01243
BRD-K25494650	DB12314
BRD-K89997465	DB00477
BRD-K97746869	DB00672
BRD-A26384407	DB08046
BRD-K98174813	DB00356
BRD-K62779383	DB00169
BRD-K19338361	DB04540
BRD-K43164539	DB02659
BRD-K77300776	DB00122
BRD-K35245662	DB01410
BRD-K13044802	DB01188
BRD-A08840375	DB15676
BRD-K85518562	DB01597
BRD-K96177243	DB01340
BRD-K57252450	DB11890
BRD-K00003550	DB03849
BRD-K67017579	DB01166
BRD-K34157611	DB00501
BRD-A99899486	DB15676
BRD-K73838513	DB01012
BRD-K53720352	DB00587
BRD-K99121711	DB00527
BRD-K54142781	DB09202
BRD-K52670952	DB01971
BRD-K06895174	DB00604
BRD-A47598013	DB01175
BRD-K81572616	DB08235
BRD-K34303607	DB03693
BRD-K93034159	DB00242
BRD-K49668410	DB15676
BRD-K30240666	DB00283
BRD-A90625545	DB15676
BRD-K09255212	DB04815
BRD-K10799896	DB01013
BRD-K72542090	DB00720
BRD-K34022604	DB00631
BRD-K45252063	DB00636
BRD-K50422030	DB06470
BRD-K52989797	DB01242
BRD-K98530306	DB00575
BRD-K18399440	DB09218
BRD-K27721098	DB00758
BRD-K73251053	DB04017
BRD-K15916496	DB00257
BRD-K51040301	DB09065
BRD-K03390685	DB05239
BRD-A67956599	DB01992
BRD-K01825730	DB00157
BRD-A55416093	DB02587
BRD-K37385792	DB00872
BRD-K24666289	DB12483
BRD-K73589401	DB04652
BRD-K86161929	DB01380
BRD-K23913458	DB04665
BRD-K00004233	DB15676
BRD-K76908866	DB12302
BRD-K09090949	DB11745
BRD-K11073688	DB12311
BRD-K40331046	DB08463
BRD-K19615002	DB00148
BRD-K22127577	DB11832
BRD-K43230258	DB05219
BRD-K78431006	DB08865
BRD-K20920669	DB01003
BRD-K53508936	DB08490
BRD-K41278234	DB12174
BRD-K69351586	DB12336
BRD-K77638923	DB11891
BRD-A18627414	DB15676
BRD-K79501723	DB01176
BRD-K42348709	DB00924
BRD-A10420615	DB07604
BRD-K87226815	DB00260
BRD-K13533483	DB00091
BRD-K28143534	DB00434
BRD-K41141507	DB04839
