Broad ID	DrugBank ID
BRD-K18194590	DB01365
BRD-K97564742	DB06691
BRD-K45216060	DB09516
BRD-K91601245	DB01033
BRD-K09372874	DB04862
BRD-K28849549	DB00244
BRD-K69688083	DB00545
BRD-K31920458	DB01357
BRD-K22518984	DB01776
BRD-K96253961	DB00610
BRD-K56699285	DB13520
BRD-K79602928	DB00331
BRD-K53896891	DB13058
BRD-K09859624	DB00940
BRD-K88143662	DB00463
BRD-K00002562	DB00703
BRD-K54416256	DB00763
BRD-A39515206	DB02893
BRD-K59456551	DB00563
BRD-K63430059	DB00553
BRD-K06152156	DB01028
BRD-K48619321	DB11315
BRD-K01292611	DB00992
BRD-K00004543	DB15676
BRD-K54770538	DB08167
BRD-K34685430	DB00353
BRD-K00003599	DB06800
BRD-K35240538	DB00959
BRD-K75641298	DB01233
BRD-K16484091	DB01336
BRD-K52020312	DB00916
BRD-K46862739	DB01011
BRD-K94441233	DB06693
BRD-A64092382	DB07129
BRD-K34328244	DB03601
BRD-K42981054	DB12717
BRD-K09549677	DB01388
BRD-K13646352	DB06595
BRD-K37270826	DB00834
BRD-K44779798	DB00491
BRD-K33251802	DB00419
BRD-K00004287	DB08918
BRD-K67080878	DB00235
BRD-K02867583	DB00805
BRD-K06902185	DB00350
BRD-K47949423	DB08893
BRD-A72351335	DB00929
BRD-K52959329	DB01252
BRD-K21680192	DB01204
BRD-K21884483	DB12523
BRD-K16732600	DB12044
BRD-K54256913	DB11740
BRD-K66911501	DB12424
BRD-K53665955	DB12556
BRD-K03894385	DB12158
BRD-K29656036	DB13024
BRD-K92995792	DB15676
BRD-K59317601	DB11836
BRD-K83963101	DB13061
BRD-K16485616	DB11830
BRD-K07237224	DB01171
BRD-K34441861	DB00691
BRD-K50265942	DB00764
BRD-K54262262	DB00600
BRD-K69470111	DB00471
BRD-K21548250	DB00680
BRD-K11785681	DB12303
BRD-K77771411	DB09242
BRD-K68795758	DB15676
BRD-K25143390	DB12715
BRD-K19061412	DB12682
BRD-K60441002	DB12458
BRD-K92428153	DB00688
BRD-K63750851	DB01024
BRD-K43149758	DB02375
BRD-K80653534	DB00141
BRD-K82522873	DB12206
BRD-K65146499	DB00461
BRD-K06674495	DB12598
BRD-K18574842	DB00607
BRD-K66404838	DB00844
BRD-K41458421	DB09049
BRD-K67511046	DB01183
BRD-K88172511	DB00704
BRD-K22064724	DB12155
BRD-K77641333	DB06711
BRD-K59197931	DB00788
BRD-K61337602	DB00952
BRD-K08832567	DB03467
BRD-K87122641	DB04066
BRD-K44353683	DB00731
BRD-K82746043	DB12340
BRD-K64716392	DB00716
BRD-K90789829	DB01149
BRD-K65678996	DB13082
BRD-K84466663	DB01280
BRD-K74117820	DB00220
BRD-K71013094	DB00452
BRD-K18922609	DB01400
BRD-K04112579	DB06802
BRD-K09126848	DB12979
BRD-K85606544	DB11828
BRD-K60212747	DB11620
BRD-K97428065	DB09048
BRD-K15502390	DB00238
BRD-K89223384	DB04223
BRD-K60237333	DB00627
BRD-K12102668	DB04820
BRD-K76810206	DB00699
BRD-K35960502	DB06803
BRD-K97752965	DB09220
BRD-K28912512	DB02701
BRD-K05395900	DB00184
BRD-K96354014	DB01115
BRD-K98763141	DB04552
BRD-K59333713	DB09239
BRD-K81528515	DB04868
BRD-K23566484	DB00665
BRD-K76775527	DB04743
BRD-K49075727	DB09079
BRD-K54955827	DB11793
BRD-K97534525	DB01422
BRD-K73589491	DB00585
BRD-K00004640	DB08283
BRD-K08807999	DB12445
BRD-K12539581	DB08313
BRD-K87349682	DB00368
BRD-K92073408	DB00717
BRD-K38041788	DB00957
BRD-A14886633	DB00367
BRD-K91263825	DB00540
BRD-K21865955	DB12784
BRD-K00004295	DB15676
BRD-K00004309	DB15676
BRD-A40413915	DB15676
BRD-K20976221	DB02407
BRD-K03294269	DB08312
BRD-K15179513	DB15676
BRD-K24696047	DB15676
BRD-K12184916	DB11651
BRD-K42728290	DB11886
BRD-K21025364	DB07460
BRD-K63247785	DB01837
BRD-K92041145	DB11919
BRD-K15600710	DB12191
BRD-A75838038	DB15676
BRD-K36463073	DB11900
BRD-A64173453	DB15676
BRD-K22822991	DB06670
BRD-A00842753	DB15676
BRD-K83144676	DB00275
BRD-K60421517	DB13164
BRD-K82731415	DB02116
BRD-K67637637	DB00768
BRD-K57853941	DB01250
BRD-K86972824	DB12539
BRD-K00003265	DB00886
BRD-K14171291	DB11992
BRD-K36680103	DB11816
BRD-A55962179	DB00736
BRD-K18602506	DB02105
BRD-K55966568	DB12072
BRD-K67068943	DB12271
BRD-K63343048	DB01083
BRD-K32572029	DB02262
BRD-K76011241	DB00198
BRD-K87124298	DB12387
BRD-K25340465	DB05913
BRD-K42805893	DB09330
BRD-K44184170	DB04938
BRD-K29735307	DB12078
BRD-K80082640	DB06635
BRD-K53417444	DB15676
BRD-K25394294	DB00991
BRD-K22556255	DB12877
BRD-K04196797	DB00776
BRD-K30373577	DB04308
BRD-K52075715	DB04910
BRD-K59037100	DB01428
BRD-K04185004	DB00892
BRD-K16195444	DB00935
BRD-K66808046	DB11145
BRD-K53061490	DB12017
BRD-K46625559	DB12612
BRD-K62008436	DB01229
BRD-K19034817	DB11697
BRD-K51313569	DB09073
BRD-K08924299	DB00377
BRD-K83794243	DB12320
BRD-K58513245	DB00282
BRD-K50817623	DB01337
BRD-K02130563	DB06603
BRD-K15567136	DB01113
BRD-K41524689	DB00316
BRD-K11851476	DB12061
BRD-K13800121	DB08439
BRD-K83597974	DB01626
BRD-K60585088	DB00910
BRD-K37991163	DB00715
BRD-K59715032	DB06663
BRD-K74514084	DB06589
BRD-K12867552	DB12565
BRD-K49865102	DB07101
BRD-K17702546	DB07662
BRD-K05104363	DB12429
BRD-K82823804	DB04608
BRD-A14577621	DB15676
BRD-K31731454	DB00885
BRD-K55705469	DB01359
BRD-K78789465	DB00183
BRD-K13183738	DB00738
BRD-K44942604	DB01090
BRD-K91543828	DB00552
BRD-K57569181	DB00806
BRD-K60770992	DB01186
BRD-K85503079	DB08922
BRD-K10995081	DB00850
BRD-K04643877	DB12365
BRD-K67844266	DB11759
BRD-K54519451	DB12978
BRD-K31519811	DB08387
BRD-K37764012	DB11775
BRD-K68747584	DB13059
BRD-K73319509	DB12848
BRD-K54871792	DB12024
BRD-K86816506	DB12012
BRD-K30550578	DB14887
BRD-K07310275	DB11974
BRD-K07955840	DB11896
BRD-K95880107	DB07941
BRD-K64800655	DB12686
BRD-K40905133	DB01121
BRD-K38323065	DB03783
BRD-K46937689	DB01435
BRD-K76304753	DB01438
BRD-K87024524	DB00780
BRD-K56700933	DB12695
BRD-K11399644	DB00914
BRD-K70592963	DB00498
BRD-K76549667	DB03255
BRD-K19227686	DB04824
BRD-K46580984	DB04892
BRD-K90333595	DB00692
BRD-K10843433	DB00812
BRD-K67102207	DB06819
BRD-K73381542	DB00388
BRD-K55930204	DB00252
BRD-K44400149	DB08363
BRD-K15563106	DB07810
BRD-K25650355	DB00981
BRD-K76661572	DB01022
BRD-K02750403	DB04873
BRD-K91509126	DB08399
BRD-K47642186	DB01791
BRD-A91822151	DB15676
BRD-K57313110	DB03088
BRD-K29395450	DB06836
BRD-K85090592	DB01085
BRD-K83245588	DB12712
BRD-K48832421	DB08707
BRD-K83405785	DB05316
BRD-K01292756	DB01100
BRD-K26801045	DB09286
BRD-A21544762	DB01338
BRD-K13249881	DB00592
BRD-K59522102	DB12582
BRD-K00004560	DB01621
BRD-K83794624	DB11616
BRD-K89375097	DB00670
BRD-K87990216	DB02925
BRD-K96862998	DB04951
BRD-K47936004	DB12478
BRD-K01826746	DB00554
BRD-K75958547	DB08860
BRD-K62264492	DB12951
BRD-K20504455	DB05103
BRD-K48304345	DB06193
BRD-K75958195	DB06153
BRD-K11853856	DB08348
BRD-A28467416	DB13109
BRD-K33240821	DB06809
BRD-K16478699	DB06999
BRD-K47869605	DB01179
BRD-K43236057	DB11263
BRD-K44227013	DB08901
BRD-K44030614	DB12016
BRD-K06222852	DB01263
BRD-K46556543	DB09015
BRD-K79803033	DB05458
BRD-K50010139	DB12114
BRD-K47598052	DB01809
BRD-K81801188	DB08052
BRD-K72514671	DB08350
BRD-K06388322	DB00413
BRD-K97045029	DB01411
BRD-K60511616	DB00175
BRD-K49111258	DB00457
BRD-A93963402	DB15676
BRD-A27887842	DB00860
BRD-K45664306	DB15566
BRD-K85883481	DB00635
BRD-K43880410	DB02789
BRD-A35912562	DB15676
BRD-K46290096	DB11864
BRD-K96671969	DB05154
BRD-K32247306	DB00794
BRD-K95237249	DB01032
BRD-K72029282	DB01599
BRD-K75089421	DB01035
BRD-K24616672	DB00721
BRD-K78666826	DB01366
BRD-K19352500	DB00433
BRD-K68408467	DB01123
BRD-K64994968	DB00396
BRD-K06980535	DB00420
BRD-K54496168	DB09288
BRD-K90885812	DB00782
BRD-K14821965	DB02166
BRD-K91244729	DB12278
BRD-K82255054	DB00818
BRD-K92830582	DB03322
BRD-K48168960	DB00550
BRD-K00003716	DB09421
BRD-K26813314	DB15676
BRD-K42098891	DB00344
BRD-K79116891	DB00807
BRD-K33681278	DB06480
BRD-K43837174	DB13094
BRD-K99092662	DB07286
BRD-K10177585	DB15676
BRD-K00004243	DB15676
BRD-K36529613	DB12638
BRD-K44164034	DB12402
BRD-K36007650	DB08437
BRD-K50836978	DB04751
BRD-K41564320	DB02733
BRD-K75282878	DB01917
BRD-K28667793	DB00339
BRD-K01567962	DB01782
BRD-K42607789	DB15676
BRD-K76204040	DB00147
BRD-K14349461	DB00165
BRD-K88429204	DB00205
BRD-K16136380	DB15676
BRD-K11663430	DB12847
BRD-K39479472	DB06816
BRD-K97399794	DB04216
BRD-K68867920	DB01224
BRD-K02995728	DB09097
BRD-K72222507	DB00881
BRD-K63794707	DB04575
BRD-K59632282	DB00908
BRD-K07940445	DB00468
BRD-K93918653	DB12874
BRD-K14870255	DB12411
BRD-K20285085	DB07159
BRD-K52233191	DB08094
BRD-K04111260	DB12518
BRD-K13394247	DB11790
BRD-K63828191	DB00481
BRD-K08586861	DB13036
BRD-K28761891	DB00980
BRD-K50489389	DB05327
BRD-K58114536	DB01367
BRD-A67036568	DB15676
BRD-K76694128	DB13005
BRD-K77224738	DB00234
BRD-K00003609	DB06213
BRD-K16730910	DB08896
BRD-K89413285	DB12404
BRD-K54094468	DB00409
BRD-K82846253	DB00912
BRD-K58486055	DB12614
BRD-K95921201	DB00206
BRD-K28822270	DB12392
BRD-K74190368	DB11085
BRD-K80738081	DB02709
BRD-K22429181	DB00162
BRD-K77286328	DB07340
BRD-K32942258	DB15676
BRD-K22024824	DB11870
BRD-K27335680	DB13174
BRD-K60369935	DB00811
BRD-K36788280	DB11730
BRD-K92760278	DB00140
BRD-K09229706	DB03247
BRD-K55188888	DB03615
BRD-K33682646	DB02955
BRD-K55187425	DB12146
BRD-K01638814	DB11738
BRD-K06240250	DB08864
BRD-K21283037	DB00740
BRD-K55781385	DB12457
BRD-K31627533	DB00896
BRD-K13296708	DB06155
BRD-K84783599	DB08931
BRD-K53814070	DB13165
BRD-K05185389	DB00884
BRD-K53857191	DB00734
BRD-K40887525	DB12693
BRD-K51485625	DB00503
BRD-K79966802	DB05855
BRD-K37130656	DB06228
BRD-K10706131	DB00989
BRD-K75699339	DB00953
BRD-K55192287	DB02016
BRD-K64538373	DB12933
BRD-K33610132	DB11907
BRD-K43305603	DB00728
BRD-K21733600	DB00533
BRD-K03194791	DB01656
BRD-K15933101	DB00268
BRD-K50938786	DB00296
BRD-K07691486	DB06195
BRD-K11672787	DB12350
BRD-K82941592	DB01098
BRD-K91111634	DB05271
BRD-K35719256	DB12093
BRD-K81855038	DB08806
BRD-K38684403	DB15676
BRD-K06894065	DB12060
BRD-K56211775	DB12513
BRD-K88560311	DB12332
BRD-K20079257	DB06201
BRD-K98004573	DB11614
BRD-K20482099	DB01698
BRD-K53972329	DB08877
BRD-K10673031	DB04018
BRD-K46493214	DB12418
BRD-K91456750	DB09292
BRD-K92613113	DB06654
BRD-K99433989	DB15676
BRD-K93632104	DB00936
BRD-K98453471	DB12681
BRD-K19284129	DB12327
BRD-K09963420	DB01232
BRD-K45349653	DB12541
BRD-K19540840	DB11805
BRD-K79878800	DB13115
BRD-K48892307	DB01399
BRD-K98028353	DB12048
BRD-K00003546	DB07465
BRD-K01826796	DB08521
BRD-K98795921	DB12986
BRD-K82091397	DB15676
BRD-K65991129	DB11883
BRD-K78941306	DB12680
BRD-K86797399	DB05223
BRD-K00004286	DB15676
BRD-K75009076	DB11899
BRD-K33809398	DB04339
BRD-K89923877	DB00747
BRD-A49906757	DB15676
BRD-K86434416	DB01037
BRD-K21191422	DB11362
BRD-K21361524	DB11942
BRD-K57080016	DB11689
BRD-K65592642	DB12463
BRD-K63504947	DB06436
BRD-K65924316	DB12027
BRD-K69116396	DB06144
BRD-K82036761	DB01104
BRD-K24497734	DB12562
BRD-K36732695	DB09304
BRD-K05638300	DB01236
BRD-K80700417	DB12494
BRD-K00004650	DB05010
BRD-K80353138	DB09298
BRD-K10906636	DB06207
BRD-K00003545	DB06290
BRD-K22134346	DB00641
BRD-K91100918	DB01910
BRD-K62384160	DB12371
BRD-A23747351	DB15676
BRD-K19416115	DB01261
BRD-K63806092	DB06268
BRD-K02152879	DB12863
BRD-K49776472	DB07106
BRD-K00004304	DB12649
BRD-K34445261	DB12446
BRD-K00004213	DB15676
BRD-K00004310	DB15676
BRD-K89561498	DB05482
BRD-A67006024	DB15676
BRD-K73197500	DB06070
BRD-K85406984	DB07425
BRD-K05878375	DB03568
BRD-M58433298	DB15676
BRD-K00003543	DB15676
BRD-K01039503	DB05197
BRD-K00003600	DB01591
BRD-K14681867	DB15676
BRD-K19796430	DB09143
BRD-K23984367	DB00398
BRD-A89164055	DB02712
BRD-K05850076	DB12713
BRD-K16761703	DB12369
BRD-K40438880	DB03566
BRD-K18375018	DB00127
BRD-K28192623	DB12704
BRD-K90027355	DB00421
BRD-A08772153	DB15676
BRD-K35629949	DB04867
BRD-K48452630	DB12186
BRD-K83146339	DB15676
BRD-K94883909	DB03428
BRD-K00003183	DB05399
BRD-K45497762	DB00202
BRD-K74724920	DB02772
BRD-K02594908	DB00259
BRD-K10671814	DB06729
BRD-K10670311	DB00795
BRD-A58955223	DB12422
BRD-K00003488	DB08329
BRD-K50938287	DB00669
BRD-K36274133	DB15676
BRD-K42828737	DB01268
BRD-K70327167	DB04786
BRD-K15170068	DB02034
BRD-K23383398	DB07080
BRD-K09001147	DB12919
BRD-K52313696	DB12291
BRD-K81473089	DB00382
BRD-K69608737	DB00864
BRD-K93645900	DB00820
BRD-K23728141	DB11644
BRD-K65059905	DB08819
BRD-K18320600	DB04936
BRD-K67262033	DB13093
BRD-K26667523	DB12241
BRD-K58501140	DB12491
BRD-K01683783	DB12756
BRD-K50498985	DB12550
BRD-K80359953	DB04982
BRD-K17555800	DB05412
BRD-K36627727	DB04942
BRD-K93754473	DB00675
BRD-K74339692	DB00706
BRD-K99604664	DB04787
BRD-K65904673	DB12833
BRD-K89162000	DB05465
BRD-K88854110	DB12623
BRD-K44844162	DB12108
BRD-K62971431	DB09071
BRD-K14653796	DB05861
BRD-K81062487	DB04348
BRD-K94649603	DB02224
BRD-K76841105	DB00799
BRD-K11215326	DB12887
BRD-K01825674	DB15676
BRD-K08902330	DB08705
BRD-K00003289	DB04954
BRD-K72912098	DB05521
BRD-K91159026	DB12228
BRD-K82240271	DB15676
BRD-K73999723	DB00966
BRD-K63178091	DB14218
BRD-K10784860	DB08836
BRD-K32107296	DB00853
BRD-K48068743	DB11950
BRD-K00004279	DB15676
BRD-K10362825	DB00444
BRD-K61868322	DB00300
BRD-A22844106	DB00469
BRD-K76788410	DB12226
BRD-K68132782	DB00857
BRD-A42699921	DB15676
BRD-K00024725	DB15676
BRD-K15507868	DB06536
BRD-K00004564	DB05298
BRD-K45071273	DB09085
BRD-A46393198	DB00848
BRD-K12735121	DB05075
BRD-K34888156	DB01412
BRD-K95785345	DB00152
BRD-K69600043	DB00372
BRD-K26619122	DB11582
BRD-K49350383	DB00352
BRD-K61443650	DB02731
BRD-K08619574	DB01622
BRD-A56012032	DB08626
BRD-K09631521	DB04572
BRD-K04175245	DB01623
BRD-K17458574	DB02513
BRD-K60160658	DB00906
BRD-K57432881	DB13025
BRD-K25838957	DB08816
BRD-K00603606	DB00208
BRD-K81330143	DB12129
BRD-K34098590	DB04831
BRD-K10845183	DB01133
BRD-K08806317	DB00373
BRD-K62782754	DB01409
BRD-K62965247	DB04960
BRD-K61236135	DB03604
BRD-K37872686	DB00775
BRD-K33379087	DB12200
BRD-K53414658	DB11800
BRD-K06335600	DB00697
BRD-K53597484	DB08633
BRD-K31283835	DB08895
BRD-K96344439	DB11824
BRD-K32164935	DB00839
BRD-K46211610	DB00797
BRD-K85119730	DB01124
BRD-K10852020	DB00323
BRD-K82562631	DB00500
BRD-K85693895	DB02383
BRD-K54316499	DB01036
BRD-A82035391	DB06212
BRD-K29653726	DB00273
BRD-K77561571	DB01685
BRD-K55696337	DB01030
BRD-K55675242	DB06281
BRD-K91822704	DB02594
BRD-K51350053	DB00539
BRD-K92241597	DB11781
BRD-K93045741	DB12203
BRD-K12343256	DB08911
BRD-K28550399	DB00519
BRD-K15014948	DB00302
BRD-K17849083	DB07615
BRD-K95763993	DB09283
BRD-K23976833	DB00287
BRD-K70778732	DB00656
BRD-K19706299	DB00374
BRD-K84663978	DB15676
BRD-K08748705	DB04253
BRD-K77554836	DB00620
BRD-K92049597	DB00384
BRD-K01669786	DB11940
BRD-K68202742	DB04297
BRD-K80431395	DB12405
BRD-K81916719	DB12245
BRD-K41731458	DB08604
BRD-K37111771	DB06824
BRD-K89732114	DB00831
BRD-K63675182	DB00508
BRD-K03243820	DB00432
BRD-K71696703	DB08814
BRD-K88366685	DB09069
BRD-K16606819	DB00347
BRD-K34415467	DB00662
BRD-K07208025	DB00440
BRD-K13642819	DB01157
BRD-K57033106	DB00792
BRD-K11742128	DB00427
BRD-K39484304	DB12025
BRD-K62685538	DB06825
BRD-A13084692	DB08607
BRD-K47978074	DB03754
BRD-A84389633	DB15676
BRD-K50866992	DB11699
BRD-K00003641	DB00209
BRD-K00494077	DB00685
BRD-K49685476	DB02877
BRD-K99621550	DB01199
BRD-K26026438	DB11652
BRD-K59574735	DB03424
BRD-K46692793	DB09076
BRD-K91283740	DB15676
BRD-K01773560	DB15676
BRD-K38332599	DB11969
BRD-K80129304	DB03419
BRD-K73196317	DB12661
BRD-K88052444	DB03904
BRD-K01295354	DB08844
BRD-K13050303	DB02745
BRD-K01825013	DB04005
BRD-K15697815	DB01586
BRD-A99182808	DB15676
BRD-A12417644	DB15676
BRD-K12994359	DB00580
BRD-K41260949	DB00313
BRD-K72951360	DB00385
BRD-K45158365	DB00177
BRD-K19412342	DB11869
BRD-K77625799	DB05294
BRD-K32501161	DB03701
BRD-K18855837	DB01273
BRD-K09711437	DB11909
BRD-K70163715	DB04879
BRD-K04701033	DB11794
BRD-K20168442	DB01339
BRD-K87142802	DB07232
BRD-K06357403	DB12889
BRD-K56343971	DB08881
BRD-K62391742	DB11581
BRD-A09533288	DB00661
BRD-K36741660	DB11873
BRD-K19741547	DB06217
BRD-K13414800	DB12082
BRD-K72093121	DB00194
BRD-K58010567	DB06684
BRD-K00003565	DB15676
BRD-K06519765	DB00570
BRD-K40902647	DB13374
BRD-K59753975	DB00309
BRD-K53318339	DB12131
BRD-K44827188	DB08828
BRD-K97091514	DB00163
BRD-K66850609	DB04878
BRD-K69776681	DB12062
BRD-K32768103	DB11739
BRD-K93442924	DB09030
BRD-K23677682	DB11999
BRD-K06557128	DB00582
BRD-K81418486	DB02546
BRD-K56291712	DB12400
BRD-K21071223	DB02758
BRD-K72005722	DB12275
BRD-K81694556	DB12416
BRD-K07736136	DB05470
BRD-K91900765	DB07138
BRD-K54640016	DB12719
BRD-K87343924	DB08059
BRD-K05445342	DB12679
BRD-K45973863	DB08734
BRD-K45875383	DB12666
BRD-K03765900	DB11973
BRD-K08356259	DB06694
BRD-K44084986	DB08756
BRD-K35586044	DB01392
BRD-K53438416	DB02728
BRD-K16037980	DB12743
BRD-K71289571	DB00549
BRD-K23067689	DB00558
BRD-K37561857	DB02918
BRD-K87714311	DB03068
BRD-K72903603	DB00495
BRD-K29582115	DB00246
BRD-K19605405	DB08770
BRD-K46654563	DB13166
BRD-K84253429	DB00399
BRD-K54314721	DB00315
BRD-K81326768	DB04828
BRD-K48300629	DB00909
BRD-K47710001	DB08772
BRD-K70557564	DB06191
BRD-K46843573	DB15676
BRD-K64557645	DB09225
BRD-K63068307	DB12904
BRD-K28761384	DB01624
BRD-K62353271	DB08891
BRD-A34255068	DB03606
BRD-K89787693	DB05875
BRD-K37203094	DB09494
BRD-K03083257	DB11220
BRD-K41866823	DB11323
BRD-K07954936	DB03353
BRD-K56634222	DB15445
BRD-K44408410	DB02342
BRD-K89712525	DB08845
BRD-K57796080	DB04228
BRD-K00003517	DB13244
BRD-K66664625	DB04713
BRD-K73303757	DB15334
BRD-K41024817	DB14739
BRD-K51799616	DB13424
BRD-K87535339	DB04860
BRD-K57631554	DB00855
BRD-K86799112	DB12298
BRD-K24603946	DB15578
BRD-A73930134	DB02959
BRD-K00535541	DB11561
BRD-K57865272	DB14094
BRD-K17443395	DB01048
BRD-K77432251	DB06395
BRD-K00004730	DB15156
BRD-K11792081	DB15055
BRD-K00003394	DB14828
BRD-K53448858	DB04944
BRD-K92517771	DB15407
BRD-K00003255	DB15385
BRD-A29260609	DB01193
BRD-K47195926	DB04500
BRD-K44004064	DB13573
BRD-K13619941	DB04167
BRD-K99048103	DB13268
BRD-K46416130	DB09347
BRD-K31965398	DB11617
BRD-K00003303	DB13086
BRD-K66465025	DB02085
BRD-K34843150	DB15059
BRD-K00003220	DB15448
BRD-K32318651	DB00787
BRD-K00003499	DB14883
BRD-K77484724	DB13868
BRD-K96159438	DB00718
BRD-K00003302	DB11704
BRD-K82343404	DB13394
BRD-K00003330	DB04931
BRD-K23791635	DB12658
BRD-K37793595	DB13623
BRD-K32533226	DB05653
BRD-K96029467	DB12497
BRD-A33317514	DB01786
BRD-K00004718	DB05540
BRD-K68928792	DB06013
BRD-K75527158	DB00630
BRD-K00003135	DB12139
BRD-K86307448	DB00437
BRD-K84810405	DB06673
BRD-K00004697	DB06198
BRD-K52459643	DB00770
BRD-K00004605	DB14808
BRD-K50276048	DB11372
BRD-K67043667	DB00488
BRD-K41051431	DB01163
BRD-K00004966	DB11701
BRD-K64925568	DB15299
BRD-K27061362	DB15639
BRD-K00010385	DB15569
BRD-K12568846	DB01424
BRD-K80262108	DB11640
BRD-K73947551	DB01143
BRD-K88043978	DB00479
BRD-K24219278	DB04836
BRD-A69917777	DB15597
BRD-A68942014	DB05964
BRD-K83486494	DB13751
BRD-K91290917	DB00613
BRD-K55044200	DB01060
BRD-K92493880	DB02057
BRD-K24771047	DB06247
BRD-K68432770	DB00415
BRD-K47827687	DB00701
BRD-K21920947	DB12810
BRD-K77118600	DB06630
BRD-K62200014	DB00261
BRD-K01174345	DB06645
BRD-K00005346	DB05288
BRD-K92490248	DB13853
BRD-K00003560	DB00362
BRD-K04725460	DB11157
BRD-K28383148	DB04974
BRD-K20001883	DB12000
BRD-K91308639	DB11901
BRD-K00003492	DB15024
BRD-K25244359	DB14765
BRD-K96737756	DB04626
BRD-K52827117	DB00673
BRD-K55172746	DB12855
BRD-K00004646	DB11860
BRD-K73881242	DB13609
BRD-K00004574	DB14185
BRD-K60171656	DB14982
BRD-K96006160	DB13851
BRD-K54634444	DB09274
BRD-K89014967	DB14904
BRD-K27938825	DB06235
BRD-K00003456	DB12597
BRD-K35079116	DB14054
BRD-K00003138	DB12428
BRD-K78841970	DB00168
BRD-K51832961	DB06543
BRD-K87028197	DB11586
BRD-K58435339	DB06306
BRD-K09757388	DB01072
BRD-K44993696	DB13443
BRD-K00003342	DB12341
BRD-K39252998	DB11481
BRD-K38527262	DB05513
BRD-K45995181	DB00995
BRD-K00003601	DB09121
BRD-K00003256	DB15011
BRD-K00003419	DB15233
BRD-K67901620	DB06442
BRD-K85882401	DB09060
BRD-K00003294	DB15327
BRD-K00003224	DB12120
BRD-K53114651	DB01667
BRD-K45861246	DB11376
BRD-K41626799	DB14795
BRD-K00005264	DB14792
BRD-K58772419	DB14980
BRD-K00003398	DB15638
BRD-K47289408	DB15029
BRD-K13699028	DB12594
BRD-K73235735	DB15138
BRD-K31476763	DB11863
BRD-K25723200	DB08822
BRD-K60663764	DB01061
BRD-K62607865	DB00355
BRD-K01826724	DB12098
BRD-K47976015	DB12283
BRD-K00003496	DB15675
BRD-K00003495	DB13997
BRD-A17462676	DB01408
BRD-K69694239	DB05983
BRD-K78781788	DB09227
BRD-K00003221	DB11877
BRD-K00003148	DB12526
BRD-K00003128	DB12225
BRD-K44824027	DB09011
BRD-K90817094	DB08903
BRD-K73425385	DB13673
BRD-K00003160	DB12459
BRD-K14993104	DB13740
BRD-K85030058	DB09023
BRD-K17068645	DB06769
BRD-K19515365	DB13501
BRD-K97181463	DB09231
BRD-A61194565	DB12783
BRD-K56156805	DB11989
BRD-K55160477	DB11496
BRD-K59986511	DB09096
BRD-K28542495	DB09084
BRD-K98494274	DB06770
BRD-K23403298	DB11583
BRD-K55191674	DB01053
BRD-K47878171	DB13462
BRD-A91008255	DB01244
BRD-K12968785	DB12216
BRD-K10196357	DB06771
BRD-K74225533	DB06755
BRD-K39061174	DB01779
BRD-K12014493	DB04455
BRD-K00005349	DB14669
BRD-K00004680	DB12464
BRD-K16898998	DB06581
BRD-K00003246	DB12236
BRD-K00003247	DB11799
BRD-K18779551	DB13550
BRD-K51937257	DB11591
BRD-K39987650	DB09020
BRD-K65978409	DB13909
BRD-K80528473	DB01294
BRD-K00228584	DB11262
BRD-K73504359	DB00006
BRD-K00003203	DB12234
BRD-K43389698	DB05969
BRD-K00003168	DB12696
BRD-K97883416	DB14675
BRD-K13049116	DB15399
BRD-K12511835	DB12357
BRD-K29343434	DB12006
BRD-K00003189	DB12591
BRD-K00004586	DB14948
BRD-K00004591	DB15291
BRD-K00003423	DB15435
BRD-K00003110	DB15347
BRD-K00003418	DB14986
BRD-K00003111	DB15498
BRD-K60348325	DB11279
BRD-K00004672	DB12151
BRD-A63675168	DB03312
BRD-K76021681	DB13297
BRD-K47631482	DB09019
BRD-K33457401	DB13960
BRD-K17500877	DB04168
BRD-K79095980	DB12028
BRD-K23301018	DB13536
BRD-K24697665	DB12160
BRD-K01825692	DB13242
BRD-K18324993	DB13502
BRD-K19462402	DB13510
BRD-A36267905	DB06152
BRD-K23204545	DB01008
BRD-K99622919	DB11502
BRD-K27217864	DB11148
BRD-K08287586	DB14084
BRD-K28965160	DB13930
BRD-K00003548	DB08856
BRD-K54028654	DB12310
BRD-K76819217	DB11751
BRD-K00003370	DB11847
BRD-K01825581	DB11596
BRD-K43806473	DB13729
BRD-K10034334	DB01744
BRD-K00004669	DB06441
BRD-K80684056	DB12328
BRD-K00003188	DB15205
BRD-K35170555	DB04519
BRD-K59895502	DB11504
BRD-K75037734	DB00411
BRD-K94848716	DB11382
BRD-K21670884	DB06468
BRD-A96051074	DB11695
BRD-K70161083	DB13835
BRD-A42167015	DB00521
BRD-K71026158	DB13553
BRD-K58070273	DB15232
BRD-K48213016	DB11798
BRD-K65503129	DB07594
BRD-K20338176	DB00833
BRD-K63242551	DB01140
BRD-K27130738	DB01326
BRD-K17903788	DB14725
BRD-K27798832	DB13504
BRD-K71059170	DB00671
BRD-K00003661	DB00267
BRD-K48470486	DB00274
BRD-K77073709	DB09062
BRD-K22641081	DB13470
BRD-K34058848	DB01328
BRD-K02292852	DB01329
BRD-K37848908	DB00923
BRD-K78364995	DB00493
