,FragmentsBitId,AvgNumNonHydrogenAtoms,StdNumNonHydrogenAtoms,countStrong,p-valueStrong,countWeak,p-valueWeak,countVeryWeak,p-valueVeryWeak,countLow,p-valueLow,countCyto,p-valueCyto,countNE,p-valueNE,hStrongBH,p-valueStrongBH,hWeakBH,p-valueWeakBH,hVeryWeakBH,p-valueVeryWeakBH,hLowBH,p-valueLowBH,hCytoBH,p-valueCytoBH,hNEBH,p-valueNEBH
3815,3815,9.25,1.894069692487581,0.0,1.0,1.0,0.4823902352798669,0.0,1.0,1.0,0.6098714635834486,0.0,1.0,18.0,0.3750464513050806,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3816,3816,9.2,2.3832750575625967,3.0,0.025173138056502325,1.0,0.5610983184425997,1.0,0.5999814873113367,2.0,0.3196885161453619,0.0,1.0,18.0,0.968511784411905,False,0.4974558979099294,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3817,3817,9.571428571428571,2.4411439272335804,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.28044367796760306,1.0,0.10932414241173469,5.0,0.918477730672743,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3818,3818,9.785714285714286,1.8776342040135594,0.0,1.0,0.0,1.0,1.0,0.6417156255314966,2.0,0.37054950193848174,0.0,1.0,25.0,0.3429300010347059,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3819,3819,10.19047619047619,3.5270255594554674,0.0,1.0,3.0,0.02888061151828564,1.0,0.5367141483629438,0.0,1.0,1.0,0.29368244664317833,16.0,0.9035367393322207,False,1.0,False,0.8801207688003859,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3820,3820,10.318181818181818,2.2840626411638385,0.0,1.0,0.0,1.0,2.0,0.1861325551860031,1.0,0.6449743907183214,1.0,0.30529951166946684,18.0,0.7474481294061947,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3821,3821,10.375,1.4086784586980805,0.0,1.0,1.0,0.23139160584317411,1.0,0.2538430850380309,0.0,1.0,0.0,1.0,6.0,0.8842555079444413,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3822,3822,9.857142857142858,2.166535841157586,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,0.3043656963077152,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3823,3823,7.275862068965517,2.887506402132183,1.0,0.5298823109991657,2.0,0.24095583631027498,2.0,0.27983821810563697,1.0,0.7448222885745259,2.0,0.0812163571636369,21.0,0.9718564146920461,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999987215966
3824,3824,10.0,2.6186146828319083,1.0,0.4208699049530456,0.0,1.0,0.0,1.0,2.0,0.2505962678339675,2.0,0.045682211307696494,16.0,0.9035367393322207,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9571065857612524,False,0.9999999987215966
